Corresponding Authors,Pubs Num
"Hu, Gongshe",8
"Hu, Zhenbin",1
"Huang, Qi",3
"Huang, Yanbo",3
"Huang, Yinghua",5
"Huber, Steven C",3
"Hudson, Karen A",5
"Hugie, KL",1
"HulseKemp, Amanda M",11
"Hunter, Cameron",2
"Hunter, Charles T",5
"Hunter, Wayne B",1
"Irish, Brian M",1
"Islam, Md Sariful",5
"J, S Armstrong",1
"Jain, Devendra",1
"Jaja, Ngowari",2
"Jannink, JeanLuc",2
"Jansky, Shelley H",3
"Jaradat, Abdullah A",1
"Jenderek, Maria M",3
"Jenkins, Johnie N",1
"Jenkins, Lauren M",1
"Jensen, Kevin B",5
"Jia, Y",1
"Jiang, CaiZhong",17
"Jin, Virginia L",1
"Johnson, Eric T",1
"Johnson, Richard M",4
"Johnson, W Carroll",7
"Jones, Thomas A",2
"Kagan, Isabelle A",1
"Kandel, Jinita Sthapit",1
"Kelly, Amy C",1
"Kendra, Paul E",1
"Khan, Ikhlas A",1
"Khan, Shahbaz",2
"Khoury, Colin K",5
"Kim, Sang Yeol",1
"King, Bradley",1
"Kiniry, James R",2
"Kistler, H Corby",1
"Kiszonas, Alecia M",1
"Klink, Vincent P",1
"Klopp, Hans",1
"Klos, Kathy Esvelt",7
"Klosterman, Steven J",7
"Knight, Alan L",2
"Knoll, Joseph E",3
"Koiwa, Hisashi",1
"Kornecki, Ted S",1
"Korres, Nicholas E",1
"Kovaleski, Alisson P",1
"Krey, Karol",1
"Krishnan, Hari B",6
"Kucek, L Kissing",2
"Kucukyumuk, Zeliha",2
"Kuhn, David N",3
"Kumar, Chandan",1
"Kumar, Rahul",1
"LaMantia, J M",1
"Labate, Joanne A",3
"LagosKutz, Doris M",1
"Lakshman, Dilip K",1
"Larkin, Robert P",1
"Lauter, Adrienne N Moran",1
"Lauter, Nick",1
"LeBlanc, Nicholas",1
"LeTourneau, Melissa K",1
"Lee, Jana C",2
"Lee, Jungmin",1
"Lee, R F",1
"Lehman, R Michael",2
"Levi, Amnon",2
"Leytem, April B",1
"Li, Shuxian",5
"Li, Xianran",8
"Liebig, Mark A",1
"Ling, KaiShu",3
"Little, Nathan S",1
"Liu, Jiping",2
"Liu, Wusheng",1
"Livingston, David",1
"Loarca, Jenyne",2
"Locke, Anna M",6
"Londo, Jason P",5
"Longland, William S",1
"Lundgren, Jonathan G",1
"Ma, Chao",1
"Mahalingam, Ramamurthy",16
"Maleki, Soheila J",1
"Malik, Vedpal Singh",2
"Mankin, Kyle R",1
"Mankin, Richard W",2
"Manter, Daniel K",3
"Martin, Frank N",1
"Martin, Ruth C",1
"MartinezCastillo, Jaime",2
"Marzano, ShinYi Lee",1
"Mathur, Sonal",1
"Maule, Andrew F",1
"McCabe, Lindsie M",1
"McCord, Per H",1
"McCreight, James D",3
"McElrone, Andrew J",12
"McGee, Rebecca J",5
"McGrath, J Mitchell",1
"McGrath, Justin M",4
"McMaster, Gregory S",1
"Meepagala, Kumudini M",6
"Meihls, Lisa N",1
"Mengistu, Alemu",3
"Mengistu, Tesfamariam",1
"Mian, M A Rouf",10
"Mikha, Maysoon M",1
"Miklas, Phillip N",9
"Milner, Matthew J",1
"Mingli, Wang",2
"Mogren, Christina L",1
"Molin, William T",1
"Mollov, Dimitre",3
"Momotaz, Aliya",1
"Moore, Virginia",1
"Moran, Patrick J",2
"Mornhinweg, Dolores W",4
"Morris, Craig F",2
"Morrison, William R",1
"Mou, Beiquan",15
"Munyaneza, Joseph E",2
"Naegele, Rachel P",1
"Nagoshi, Rodney N",1
"Naoumkina, Marina",1
"Navarre, Duroy A",1
"Nayak, Santosh",1
"Nelson, Rex T",2
"Nieman, Christine C",5
"Northup, Brian K",2
"Novak, Jeffrey M",1
"O'Rourke, Jamie A",3
"Ohlson, Erik W",2
"Okubara, Patricia A",6
"Oliver, Melvin J",1
"Ort, Donald R",13
"Osborne, Shannon L",3
"Owen, James S",2
"Palumbo, Jeffrey D",1
"Pan, YongBao",8
"Pan, Zhiqiang",5
"Pant, Pooja",1
"Park, Jaebum",3
"Park, Sunchung",1
"Parys, Katherine A",2
"Paulitz, Timothy",2
"Pelletier, Mathew",1
"Peng, Hao",1
"Penn, Hannah J",2
"Penning, Bryan W",1
"Pereira, Adriano E",2
"Perera, Wilmer H",3
"Pettigrew, W T",1
"Pinnamaneni, Srinivasa R",2
"Plotto, Anne",2
"Polashock, James J",2
"Polley, H Wayne",4
"Ponciano, Grisel",2
"Pooler, Margaret R",3
"Porch, Timothy G",3
"Portwood, John L",1
"Prasifka, Jarrad R",1
"Pugh, N Ace",1
"Puig, A S",1
"Pyle, Lysandra A",1
"Qi, L L",2
"Raboy, Victor",1
"Ray, Jeffery D",1
"Reddy, Krishna N",2
"Reddy, Umesh K",1
"Reddy, Vangimalla R",1
"Redinbaugh, Margaret G",1
"Reeves, Patrick A",3
"Reginald, S Fletcher",3
"Rering, Caitlin C",2
"Richardson, Kelley Lynne",8
"Ricigliano, Vincent A",1
"Riedell, Walter E",2
"Rippner, Devin A",1
"Rob, Mitchell",1
"Robert, E Hoagland",3
"Robins, Joseph G",9
"Roby, Matthew",1
"Roda, Amy",1
"Rosenthal, Benjamin M",1
"Rounsaville, Todd",1
"Rouse, Matthew N",1
"Rowland, Lisa J",2
"Saballos, Ana I",1
"Sainju, Upendra M",1
"Sakhanokho, Hamidou F",6
"SalgadoSalazar, Catalina",3
"Samac, Deborah A",5
"Sandhu, Devinder",2
"Sapkota, Anish",1
"Sarath, Gautam",9
"Sattler, Scott E",9
"Scagel, Carolyn F",2
"Scheffler, Brian E",1
"Scheffler, Jodi A",2
"SchmidtJeffris, Rebecca A",1
"Schrader, Kevin K",1
"Schroeder, Jill",1
"Scofield, Steven R",2
"Scott, M Paul",1
"Scully, B T",1
"See, Deven R",3
"Sen, Taner Z",1
"SerratoDiaz, Luz M",1
"Sharma, Reena",1
"Shelby, Kent S",6
"Shellie, Krista",1
"Simko, Ivan",15
"Simon, Philipp W",8
"Singh, Shardendu K",3
"Singh, Sukhwinder",2
"Sistani, K R",1
"Skinner, D Z",1
"Smallwood, Christopher J",1
"Smelser, Andrew",1
"Smith, Brenda S",1
"Smith, James R",3
"Smith, Jesse Spencer",1
"Smolensky, Dmitriy",2
"Soder, Kathy J",1
"Sood, Sushma",1
"Spaunhorst, Douglas J",2
"Spiess, Jonathan W",1
"Springer, Tim L",3
"Starks, Patrick J",2
"Staub, Jack E",1
"Steber, Camille M",11
"Steffan, Shawn A",1
"Steven, J Thomson",1
"Stewart, Jared J",1
"Stewart, Lucy R",7
"Stockwell, Virginia O",1
"Stodghill, Paul",1
"Strange, J P",1
"Stuehler, Douglas S",1
"Subbarao, Krishna V",1
"Subramanyam, Subhashree",8
"Summers, Katie Lynn",1
"Svejcar, Lauren N",1
"Swingle, Bryan",1
"Szogi, Ariel A",2
"Tai, Thomas H",3
"Taliercio, Earl",3
"Tallury, Shyam P",1
"Tatineni, Satyanarayana",1
"Tetreault, Hannah M",1
"Thannhauser, Theodore W",1
"Thilmony, Roger",1
"Thomashow, Linda S",4
"Thompson, Alison L",1
"Thomson, James G",2
"Tilhou, Neal",3
"Tillman, P G",1
"Tisdale, Ripley H",4
"Todd, James R",8
"Tooley, Paul W",1
"Toomer, Ondulla T",1
"Trippe, Kristin M",1
"Tworkoski, Thomas",1
"Uselman, Shauna M",1
"Vandemark, George J",2
"Varanasi, Vijay",1
"Vaughan, Martha M",2
"Vaughn, Justin N",2
"Velasco, Dianne",1
"Vieira, Paulo",1
"Vijay, K Nandula",3
"Volk, Gayle M",6
"Waldron, Blair L",4
"Walker, Berkley J",1
"Walker, David R",3
"Walling, Jason G",2
"Wallingford, Anna",1
"Walters, Christina",5
"Wang, Mei",1
"Wang, Ming Li",3
"Wang, Nian",1
"Wang, Richard RC",5
"Wang, Xinwang",1
"Wang, Yonglin",1
"Warburton, Marilyn L",2
"Ward, Brian P",1
"Ward, Todd J",2
"Ware, Doreen",3
"Warnke, Scott E",1
"Washburn, Jacob D",3
"Webb, Kimberly M",8
"Weiland, Jerry E",1
"Weller, David M",1
"Weng, Yiqun",22
"West, Natalie M",1
"Whitcomb, Sarah J",1
"White, Paul M",1
"Widmer, T L",1
"Willett, Denis S",1
"William, T Molin",5
"Williams, Christie E",3
"Williams, Livy",1
"Williams, Martin M",7
"Wilmer, Hailey",2
"Wilson, Jennifer R",1
"Wintermantel, William M",2
"Wise, Roger P",1
"Wisniewski, Michael",6
"Wolf, J",1
"Woodhouse, Margaret R",1
"Wright, Alice A",1
"Wu, Xianli",1
"Wubben, Martin J",1
"Xianming, Chen",2
"Xin, Zhanguo",3
"Xu, Steven S",1
"Xu, Xiangyang",17
"Xu, Zhanyou",1
"Yanbo, Huang",1
"Yee, Wee L",2
"Young, Eric O",2
"Young, Frank L",1
"Yu, LongXi",10
"Yurgel, Svetlana N",2
"Zalapa, Juan E",5
"Zankowski, Paul",1
"Zasada, Inga A",1
"Zeng, Linghe",8
"Zhang, Dapeng",1
"Zhang, Huihui",1
"Zhao, Chuanzhi",1
"Zhao, Duli",1
"Zhong, Ganyuan",9
"Zhou, W",1
"Zhu, Yanmin",1
"Ziska, Lewis H",4
"Zobel, Richard W",2
"Zuo, Jinhua",2
"ames, R Mahan",1
"ark, A Weaver",1
"ennis, C Gitz",3
"im, L Springer",1
